	ReferenceID	Latitude	Longitude	DateTime	day_of_week_sin	day_of_week_cos	time_sin	time_cos
21	SAPD24169104	0.0341309951834976	-0.10389198380500497	2024-08-05 07:25:00.000	0.0	1.0	0.9320078692827986	-0.3624380382837016
22	SAPD24169233	0.2661496845532789	-0.13033564314907065	2024-08-05 00:00:00.000	0.0	1.0	0.0	1.0
23	SAPD24168624	-0.13086374737127893	-0.611667222692488	2024-08-04 14:53:00.000	-0.7818314824680299	0.6234898018587334	-0.6851829903263591	-0.7283709698824002
24	SAPD24167572	-0.8134115731632944	-0.41972665948686416	2024-08-03 02:15:00.000	-0.9749279121818236	-0.2225209339563146	0.5555702330196022	0.8314696123025452
25	SAPD24167214	-0.39820907672479144	-0.517006174174721	2024-08-02 16:55:00.000	-0.433883739117558	-0.9009688679024191	-0.9600498543859286	-0.27982901403099236
26	SAPD24167387	0.01071840445017247	-0.10191324181294181	2024-08-02 14:00:00.000	-0.433883739117558	-0.9009688679024191	-0.5000000000000001	-0.8660254037844386
27	SAPD24166257	-0.1288964452886634	-0.5093424339201476	2024-08-01 14:24:00.000	0.43388373911755823	-0.900968867902419	-0.587785252292473	-0.8090169943749475
28	SAPD24166297	-0.5912802727087796	-0.39064381416125227	2024-08-01 13:37:00.000	0.43388373911755823	-0.900968867902419	-0.410718852613477	-0.9117620435770887
29	SAPD24166353	-0.5879307713180917	-0.2672495671358782	2024-08-01 12:00:00.000	0.43388373911755823	-0.900968867902419	1.2246467991473532e-16	-1.0
30	SAPD24165901	-0.36718167017163406	-0.4955715292451086	2024-07-31 22:34:00.000	0.9749279121818236	-0.22252093395631434	-0.36650122672429725	0.9304175679820246
31	SAPD24164872	-0.14083593379011883	-0.142231404889255	2024-07-30 15:06:00.000	0.7818314824680298	0.6234898018587336	-0.7253743710122873	-0.6883545756937542
32	SAPD24164701	-0.4005070890713054	-0.442293124116133	2024-07-30 14:20:00.000	0.7818314824680298	0.6234898018587336	-0.5735764363510458	-0.819152044288992
33	SAPD24165106	-0.24336883522150377	-0.6330163983999254	2024-07-30 09:45:00.000	0.7818314824680298	0.6234898018587336	0.5555702330196022	-0.8314696123025453
34	SAPD24164214	-0.6944321959161519	-0.45255202075295364	2024-07-29 20:08:00.000	0.0	1.0	-0.8480480961564261	0.5299192642332047
35	SAPD24167795	0.6204930126857082	-0.8003366456677706	2024-07-29 00:00:00.000	0.0	1.0	0.0	1.0
36	SAPD24163239	-0.6351757004273811	-0.3165186887521235	2024-07-28 14:11:00.000	-0.7818314824680299	0.6234898018587334	-0.5409744713679938	-0.8410390129643925
37	SAPD24162272	-0.5721584356556633	-0.35544603448586953	2024-07-27 03:03:00.000	-0.9749279121818236	-0.2225209339563146	0.7163019434246541	0.6977904598416802
38	SAPD24164171	-0.11922529000747495	-0.5748999173008462	2024-07-26 20:00:00.000	-0.433883739117558	-0.9009688679024191	-0.8660254037844386	0.5000000000000001
39	24-P21772	0.5288226714605404	0.9508526072758865	2024-07-25 08:00:00.000	0.43388373911755823	-0.900968867902419	0.8660254037844387	-0.4999999999999998
40	24-36652	0.5570729597720658	0.5651377775526603	2024-07-24 19:34:41.000	0.9749279121818236	-0.22252093395631434	-0.917060074385124	0.39874906892524625
